abundance,num_val
-3.975,0.0
-3.9250000000000003,0.0
-3.8750000000000004,0.0
-3.8250000000000006,0.0
-3.775000000000001,0.0
-3.725000000000001,0.0
-3.675000000000001,0.0
-3.6250000000000013,0.0
-3.5750000000000015,0.0
-3.5250000000000017,0.0
-3.475000000000002,83822.695
-3.425000000000002,83786.11
-3.375000000000002,335111.47
-3.3250000000000024,293195.16
-3.2750000000000026,879615.6
-3.2250000000000028,544468.25
-3.175000000000003,1256512.8
-3.125000000000003,753942.2
-3.0750000000000033,1047125.6
-3.0250000000000035,1298628.8
-2.9750000000000036,1047110.0
-2.925000000000004,1633985.6
-2.875000000000004,2136344.2
-2.825000000000004,2764731.2
-2.7750000000000044,2513721.2
-2.7250000000000045,2722947.5
-2.6750000000000047,3225653.8
-2.625000000000005,4273945.0
-2.575000000000005,6372752.5
-2.5250000000000052,8683535.0
-2.4750000000000054,12537705.0
-2.4250000000000056,14346730.0
-2.3750000000000058,19083790.0
-2.325000000000006,23660430.0
-2.275000000000006,26146100.0
-2.2250000000000063,24923530.0
-2.1750000000000065,20441400.0
-2.1250000000000067,15955060.0
-2.075000000000007,14312080.0
-2.025000000000007,9909820.0
-1.9750000000000072,10923900.0
-1.9250000000000074,12482260.0
-1.8750000000000075,10934280.0
-1.8250000000000077,9504880.0
-1.775000000000008,8876480.0
-1.725000000000008,7077720.0
-1.6750000000000083,5100780.0
-1.6250000000000084,2782640.0
-1.5750000000000086,1897980.0
-1.5250000000000088,1656460.0
-1.475000000000009,549180.0
-1.4250000000000091,296460.0
-1.3750000000000093,517180.0
-1.3250000000000095,128900.0
-1.2750000000000097,337860.0
-1.2250000000000099,129840.0
-1.17500000000001,0.0
-1.1250000000000102,42400.0
-1.0750000000000104,46040.0
-1.0250000000000106,91060.0
-0.9750000000000107,44360.0
-0.9250000000000109,44760.0
-0.8750000000000111,42880.0
-0.8250000000000113,45360.0
-0.7750000000000115,90760.0
-0.7250000000000116,175100.0
-0.6750000000000118,0.0
-0.625000000000012,0.0
-0.5750000000000122,47340.0
-0.5250000000000123,0.0
-0.4750000000000125,43520.0
-0.4250000000000127,0.0
-0.3750000000000129,0.0
-0.32500000000001306,0.0
-0.27500000000001323,0.0
-0.2250000000000134,0.0
-0.1750000000000136,51160.0
-0.12500000000001377,0.0
-0.07500000000001394,0.0
